;ImageID;Xc;Yc;Orientation;Class;Full_Contain;Occlude;X1;X2;X3;X4;Y1;Y2;Y3;Y4;Xmin;Ymin;Xmax;Ymax;Xmin_rel;Ymin_rel;Xmax_rel;Ymax_rel;Xc_rel;Yc_rel
0;00000000.txt;290.3489685058594;504.61163330078125;3.012318;1;1;0;277;303;304;279;502;498;508;511;277;498;304;511;0.541015625;0.97265625;0.59375;0.998046875;0.5670878291130066;0.9855695962905884
1;00000001.txt;172.4137420654297;406.1844787597656;-0.013888;0;1;0;163;182;181;164;403;403;410;410;163;403;182;410;0.318359375;0.787109375;0.35546875;0.80078125;0.33674558997154236;0.7933290600776672
2;00000001.txt;206.6089324951172;405.6218566894531;-0.011363;8;1;0;196;218;218;195;402;402;409;410;195;402;218;410;0.380859375;0.78515625;0.42578125;0.80078125;0.40353307127952576;0.7922301888465881
3;00000002.txt;303.2936706542969;423.1692810058594;1.446441;4;1;0;297;308;310;299;414;413;433;434;297;413;310;434;0.580078125;0.806640625;0.60546875;0.84765625;0.5923704504966736;0.8265025019645691
4;00000003.txt;438.5931091308594;445.61102294921875;0.013333;4;1;0;420;458;457;420;440;440;452;451;420;440;458;452;0.8203125;0.859375;0.89453125;0.8828125;0.8566271662712097;0.8703340291976929
5;00000004.txt;146.0303497314453;312.2478942871094;0.088377;0;1;0;136;156;156;136;308;310;316;315;136;308;156;316;0.265625;0.6015625;0.3046875;0.6171875;0.2852155268192291;0.6098591685295105
6;00000004.txt;167.37705993652344;235.32066345214844;1.536327;4;1;0;163;173;173;161;254;254;218;217;161;217;173;254;0.314453125;0.423828125;0.337890625;0.49609375;0.32690832018852234;0.4596106708049774
7;00000006.txt;10.17134952545166;366.1092834472656;2.663762;0;1;0;16;19;5;2;360;365;373;367;2;360;19;373;0.00390625;0.703125;0.037109375;0.728515625;0.019865917041897774;0.7150571942329407
8;00000006.txt;5.420280933380127;147.56236267089844;1.951303;0;1;0;5;11;5;1;139;143;156;153;1;139;11;156;0.001953125;0.271484375;0.021484375;0.3046875;0.01058648619800806;0.2882077395915985
9;00000006.txt;12.267409324645996;166.38031005859375;1.762844;0;1;0;11;17;15;6;157;158;177;175;6;157;17;177;0.01171875;0.306640625;0.033203125;0.345703125;0.02395978383719921;0.3249615430831909
10;00000006.txt;44.22067642211914;174.904296875;0.668289;0;1;0;39;53;50;35;167;178;183;172;35;167;53;183;0.068359375;0.326171875;0.103515625;0.357421875;0.08636850863695145;0.3416099548339844
11;00000006.txt;45.94306182861328;89.31800079345703;3.013269;0;1;5;38;53;55;39;87;85;92;94;38;85;55;94;0.07421875;0.166015625;0.107421875;0.18359375;0.08973254263401031;0.17444922029972076
12;00000006.txt;63.549964904785156;90.90169525146484;-1.346085;4;1;0;61;71;68;56;82;83;101;99;56;82;71;101;0.109375;0.16015625;0.138671875;0.197265625;0.12412102520465851;0.17754237353801727
